filename,basename,toolid,findings,true_reentrancy,predicted_reentrancy
04_CrossModFoldSem_safe1.sol,04_CrossModFoldSem_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
04_CrossModFold_ree1.sol,04_CrossModFold_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
04_CrossModFold_ree2.sol,04_CrossModFold_ree2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
04_CrossModFold_ree3.sol,04_CrossModFold_ree3.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
04_CrossModFold_safe1.sol,04_CrossModFold_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
04_CrossMod_ree1.sol,04_CrossMod_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
04_CrossMod_ree2.sol,04_CrossMod_ree2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
04_CrossMod_ree3.sol,04_CrossMod_ree3.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
04_CrossMod_ree4.sol,04_CrossMod_ree4.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
04_CrossMod_ree5.sol,04_CrossMod_ree5.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
04_CrossMod_safe1.sol,04_CrossMod_safe1.sol,ccc,{},False,False
04_CrossMod_safe2.sol,04_CrossMod_safe2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
04_CrossMod_safe3.sol,04_CrossMod_safe3.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
05_SingleSendEmitUnchecked_safe1.sol,05_SingleSendEmitUnchecked_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
05_SingleSendEmit_safe1.sol,05_SingleSendEmit_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
05_SingleSendUnchecked_safe1.sol,05_SingleSendUnchecked_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
05_SingleSend_safe1.sol,05_SingleSend_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
05_SingleSend_safe2.sol,05_SingleSend_safe2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
05_SingleSend_safe3.sol,05_SingleSend_safe3.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
06_SingleTransferUnchecked_safe1.sol,06_SingleTransferUnchecked_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
06_SingleTransferUnchecked_safe2.sol,06_SingleTransferUnchecked_safe2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
06_SingleTransfer_safe1.sol,06_SingleTransfer_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
06_SingleTransfer_safe2.sol,06_SingleTransfer_safe2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
07_MixedTransferEmit_ree1.sol,07_MixedTransferEmit_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
07_MixedTransferEmit_safe1.sol,07_MixedTransferEmit_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
07_MixedTransfer_ree1.sol,07_MixedTransfer_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
07_MixedTransfer_safe1.sol,07_MixedTransfer_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
08_MixedSendFoldEmit_ree1.sol,08_MixedSendFoldEmit_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
08_MixedSendFoldEmit_safe1.sol,08_MixedSendFoldEmit_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
08_MixedSendFold_ree1.sol,08_MixedSendFold_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
08_MixedSendFold_safe1.sol,08_MixedSendFold_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
08_MixedSend_ree1.sol,08_MixedSend_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
08_MixedSend_safe1.sol,08_MixedSend_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
09_ERC20DDMod_ree1.sol,09_ERC20DDMod_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability}",True,True
09_ERC20DDMod_ree2.sol,09_ERC20DDMod_ree2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability}",True,True
09_ERC20DDMod_ree3.sol,09_ERC20DDMod_ree3.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability}",True,True
09_ERC20DDMod_safe1.sol,09_ERC20DDMod_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability}",False,True
09_ERC20DDSubMod_ree1.sol,09_ERC20DDSubMod_ree1.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,True
09_ERC20DDSubMod_ree2.sol,09_ERC20DDSubMod_ree2.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,True
09_ERC20DDSubMod_ree3.sol,09_ERC20DDSubMod_ree3.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,True
09_ERC20DDSubMod_safe1.sol,09_ERC20DDSubMod_safe1.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,True
09_ERC20DDSub_ree1.sol,09_ERC20DDSub_ree1.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,True
09_ERC20DDSub_safe1.sol,09_ERC20DDSub_safe1.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
09_ERC20DD_ree1.sol,09_ERC20DD_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability}",True,True
09_ERC20DD_safe1.sol,09_ERC20DD_safe1.sol,ccc,{Message_padding_vulnerability_found_at_ether_transfer},False,False
09_ERC20OnlyOnce_ree1.sol,09_ERC20OnlyOnce_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Reentrancy_Vulnerability}",True,True
09_ERC20OnlyOnce_safe1.sol,09_ERC20OnlyOnce_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Reentrancy_Vulnerability}",False,True
09_ERC20OnlyOnce_safe2.sol,09_ERC20OnlyOnce_safe2.sol,ccc,{Reentrancy_Vulnerability},False,True
09_ERC20Staticcall_ree1.sol,09_ERC20Staticcall_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability}",True,True
09_ERC20_ree1.sol,09_ERC20_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability}",True,True
09_ERC20_safe1.sol,09_ERC20_safe1.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
09_ERC20_safe2.sol,09_ERC20_safe2.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
09_ERC20_safe3.sol,09_ERC20_safe3.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
10_OnlyOnce_safe1.sol,10_OnlyOnce_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
10_OnlyOnce_safe2.sol,10_OnlyOnce_safe2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
11_ERC20StakingPullMod_ree1.sol,11_ERC20StakingPullMod_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
11_ERC20StakingPullMod_ree2.sol,11_ERC20StakingPullMod_ree2.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
11_ERC20StakingPullMod_safe1.sol,11_ERC20StakingPullMod_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
11_ERC20StakingPull_ree1.sol,11_ERC20StakingPull_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
11_ERC20StakingPull_safe1.sol,11_ERC20StakingPull_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
11_ERC20StakingPull_safe2.sol,11_ERC20StakingPull_safe2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
11_ERC20Staking_ree1.sol,11_ERC20Staking_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,True
11_ERC20Staking_ree2.sol,11_ERC20Staking_ree2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,True
11_ERC20Staking_ree3.sol,11_ERC20Staking_ree3.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
11_ERC20Staking_safe1.sol,11_ERC20Staking_safe1.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
11_ERC20Staking_safe2.sol,11_ERC20Staking_safe2.sol,ccc,"{A_miner_can_use_others_input_to_gain_a_benefit_himself,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
11_ERC20Staking_safe3.sol,11_ERC20Staking_safe3.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
12_ProxyStaticcall_safe1.sol,12_ProxyStaticcall_safe1.sol,ccc,{},False,False
12_Proxy_safe1.sol,12_Proxy_safe1.sol,ccc,{},False,False
12_Proxy_safe2.sol,12_Proxy_safe2.sol,ccc,{},False,False
13_OnlyOwner_ree1.sol,13_OnlyOwner_ree1.sol,ccc,{},True,False
13_OnlyOwner_safe1.sol,13_OnlyOwner_safe1.sol,ccc,{},False,False
14_SidefxInline_ree1.sol,14_SidefxInline_ree1.sol,ccc,"{Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,True
14_SidefxInline_safe1.sol,14_SidefxInline_safe1.sol,ccc,{Reentrancy_Vulnerability},False,True
15_LoopCrossMod_ree1.sol,15_LoopCrossMod_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
15_LoopCrossMod_ree2.sol,15_LoopCrossMod_ree2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
15_LoopCrossMod_ree3.sol,15_LoopCrossMod_ree3.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
15_LoopCrossMod_safe1.sol,15_LoopCrossMod_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
15_LoopCrossMutex_ree1.sol,15_LoopCrossMutex_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
15_LoopCrossMutex_safe1.sol,15_LoopCrossMutex_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
15_LoopCrossMutex_safe2.sol,15_LoopCrossMutex_safe2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
15_Loop_ree1.sol,15_Loop_ree1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
15_Loop_safe1.sol,15_Loop_safe1.sol,ccc,"{Operation_may_lead_to_a_denial_of_essential_contract_function,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
16_DelegateCall_ree1.sol,16_DelegateCall_ree1.sol,ccc,{},True,False
16_DelegateCall_ree2.sol,16_DelegateCall_ree2.sol,ccc,{},True,False
16_DelegateCall_ree3.sol,16_DelegateCall_ree3.sol,ccc,{},True,False
16_DelegateCall_safe1.sol,16_DelegateCall_safe1.sol,ccc,{},False,False
17_Rari_ree1.sol,17_Rari_ree1.sol,ccc,{Reentrancy_Vulnerability},True,True
17_Rari_ree2.sol,17_Rari_ree2.sol,ccc,{Reentrancy_Vulnerability},True,True
17_Rari_safe1.sol,17_Rari_safe1.sol,ccc,{},False,False
17_Rari_safe2.sol,17_Rari_safe2.sol,ccc,{Reentrancy_Vulnerability},False,True
18_RariStaticcall_ree1.sol,18_RariStaticcall_ree1.sol,ccc,{Reentrancy_Vulnerability},True,True
18_RariStaticcall_safe1.sol,18_RariStaticcall_safe1.sol,ccc,{},False,False
19_HumanFold_ree1.sol,19_HumanFold_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
19_HumanFold_ree2.sol,19_HumanFold_ree2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
19_HumanFold_ree3.sol,19_HumanFold_ree3.sol,ccc,"{Access_control_enforcement_through_transactions_origin_is_vulnerable_to_phishing_attacks,Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
19_HumanFold_safe1.sol,19_HumanFold_safe1.sol,ccc,"{Access_control_enforcement_through_transactions_origin_is_vulnerable_to_phishing_attacks,Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
19_Human_ree1.sol,19_Human_ree1.sol,ccc,{},True,False
19_Human_ree2.sol,19_Human_ree2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
19_Human_ree3.sol,19_Human_ree3.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
19_Human_ree4.sol,19_Human_ree4.sol,ccc,{},True,False
19_Human_safe1.sol,19_Human_safe1.sol,ccc,"{Access_control_enforcement_through_transactions_origin_is_vulnerable_to_phishing_attacks,Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
19_Human_safe2.sol,19_Human_safe2.sol,ccc,"{Access_control_enforcement_through_transactions_origin_is_vulnerable_to_phishing_attacks,Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
19_Human_safe3.sol,19_Human_safe3.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicCall_ree1.sol,00_BasicCall_ree1.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",True,True
00_BasicCall_safe1.sol,00_BasicCall_safe1.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency}",False,True
00_BasicConst_ree1.sol,00_BasicConst_ree1.sol,confuzzius,"{Reentrancy,Unhandled_Exception}",True,True
00_BasicConst_safe1.sol,00_BasicConst_safe1.sol,confuzzius,{},False,False
00_BasicCross_ree1.sol,00_BasicCross_ree1.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",True,True
00_BasicEmit_ree1.sol,00_BasicEmit_ree1.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",True,True
00_BasicEmit_safe1.sol,00_BasicEmit_safe1.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",False,True
00_BasicError_ree1.sol,00_BasicError_ree1.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",True,True
00_BasicError_safe1.sol,00_BasicError_safe1.sol,confuzzius,{Reentrancy},False,True
00_BasicFold_ree1.sol,00_BasicFold_ree1.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",True,True
00_BasicFold_ree2.sol,00_BasicFold_ree2.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",True,True
00_BasicFold_safe1.sol,00_BasicFold_safe1.sol,confuzzius,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",False,True
